metric,lr_stat,df_diff,p_value,llf_null,llf_full
procedural_score,,7,,inf,inf
hedging_score,13.889500374202271,7,0.053181962871841765,-132.99226544974437,-126.04751526264323
policy_score,97.56913993233434,7,3.424693812850367e-18,-232.7517842622711,-183.96721429610392
